APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS
A3FDA77D24E0681BFBCBBE00DF9C6CE8FDA734E2B928FEA2D23BC6AF794A271B,162.84348797798157,17,215,0,12.65,215
A480F8164C1FE78DE4BA071910B8842485F7BE8CADDED0E759CDEB03C0389EAB,6604.449981451035,12,1187,0,98.92,969
A6F94981520C2329E70A754F709763FD39793E6BBCF054EBF06695AA9E30DF8A,1561.1611802577972,4,52,0,13.00,52
A70A3D6EA481C0FE0C1887BEA3E3434D7614E6B7CF747B899C0EB8C139286143,329.25830698013306,8,22,0,2.75,20
AB838382FED5A2493456B97BB34481D81BF9C9CA5EAAD27D16DFC95B44CD1F3E,1992.7590510845184,27,1384,0,51.26,1015
ACFD57B578E1C356F415EDC6E462C8A96F193A2F7B4AADE578E09155647D088C,9241.84507393837,20,1792,0,89.60,256
B082D0DF2E4D1DBADD667FE96292C4C7CC53CBCA795C49295A7C27ACE008F3FC,1287.839554309845,16,16,0,1.00,16
B4098FCC8C47A10B42868E2B093B5D642F13294F284840B6B25FE695612740C0,6998.093833684921,21,1745,0,83.10,1745
B5529BFF4D2E24435332C30324A0FB95578B6D3B5E844E907651B16992201701,6780.886766195297,29,4518,0,155.79,2372
BBD13666C890685B8B071157A39CF5B81E2431B1511A6840B80BCCCA13A87E18,400.59031105041504,27,1142,0,42.30,1142
BE2973BCBBA39B06147DB5520C36C7FF18CB25033548FB6DBFA92A1B526746C7,2105.3971445560455,11,2587,0,235.18,753
BF14EB26DCC8288551B2365AB76A43E9B93D2C6EF30A4AFA38612CA51AE86C79,254.65073704719543,11,85,0,7.73,33
BFE864C0B0FBB68A1A84E27E1E99161F3E61876AEADC0FE6D08295FBF6BA9C03,4153.3917491436005,14,1347,0,96.21,922
C0B8AC91A8145A03D0491C23B9178C443C293ECED6B8F9E1481D8217B58B504F,491.2738676071167,21,244,0,11.62,232
C2C91936EFD64F883742ED8CA0066927C5F7618D3F67DB40E6C4BB9ADFBED8C5,1835.3320343494415,11,21,0,1.91,21
C55F81B5969906E09A85C34B0135D5805E3DA9512F7D155F5AFF65FC7196DE68,630.1310842037201,2,2,0,1.00,2
C678D9D40276C4B02D899EDCE833F30E7E31259A61D5F4E6751CB4F60A9F50C8,458.3062491416931,13,39,0,3.00,39
CB265A9983CA776258AC53E751CCA7338EC2FAEABF3E30F637D5FD1348819B30,501.54529213905334,11,16,0,1.45,16
CBD57281B6BF7897BA1B8517B83D9BA3FB8A9E3FCC51EDDE5F0B4E280F4CC2AC,535.0385708808899,36,173,0,4.81,145
CFD47B8F927BF4B979F0144F69B9A28A05BEBD8C0A72F090265BEFC82646F0F6,66.6127815246582,25,245,0,9.80,245
D7F698AD5F334AEED6B851A8C023107AF37EE03FFDF9CC7BC5DD58B3AF8877D8,376.3546380996704,22,300,0,13.64,270
D90848F09170CC6AB6ADA4A6E7F56C8A4B54D86134957E9DDC7068948FB05888,871.2214696407318,9,311,0,34.56,310
DB84C0394D11B02298A991D03D30F11D9A2D469CAE6F9EC2C150CE97A2D61CE0,711.3885114192963,13,132,0,10.15,120
DE79CD990B687AAEC012D1B5CEB51B3539CBDE31843733FE1C42E27CF92DCBEE,316.98565006256104,4,86,0,21.50,78
E5559834F1360F1DE6E1BCF26EDC2CE5F6D8FE2E53189E071CB53423048B5943,1148.1998949050903,10,944,0,94.40,483
E6A772365395C9A9133FB4DA9E43C3FDDAF1367A0E0E43EB9E551EC0908AB74C,896.3800930976868,13,157,0,12.08,141
E8EB864C66CD63CFBF29E1A386394B65B254908EFC00A0332FFFEA3A008B76E0,580.3688101768494,10,22,0,2.20,19
E9549BB7A18FCF8E39E8613686212BA51D76798BD9AB55497758B4B726726601,754.4647061824799,25,489,0,19.56,362
EC3565B87242878D881FA632C27C666EEF25478DB8F955E92AE817B26219DB02,2292.727930545807,42,1410,0,33.57,927
F13B3188C3BBE4C7965E4F739283769FFE04F8273157BE7D239FB3A9BEB699DB,1425.9929637908936,1,1,0,1.00,1
F15B38AE2533143A35898AD1859AB37590477FF1FF45F10DD0DF540F98E4C5F4,1759.5356285572052,34,1630,0,47.94,1367
F7B6C29259A6D482E0F153BD26988D4C060329E4920178CCA826FECE3A7F03BA,3623.1746711730957,24,2481,0,103.38,1434
F82C941BE7AE007F482CB4516BCCC5A5F3AC0152C5C0DB8714E5C0D135A71E38,676.2248673439026,18,28,0,1.56,28
