APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS,PoR
C55F81B5969906E09A85C34B0135D5805E3DA9512F7D155F5AFF65FC7196DE68,8008.174669742584,19,1986,0,104.53,1520,5.26
C678D9D40276C4B02D899EDCE833F30E7E31259A61D5F4E6751CB4F60A9F50C8,2526.303169488907,40,6632,0,165.80,5345,12.50
CB265A9983CA776258AC53E751CCA7338EC2FAEABF3E30F637D5FD1348819B30,5306.347162485123,37,2966,0,80.16,2758,0
CBD57281B6BF7897BA1B8517B83D9BA3FB8A9E3FCC51EDDE5F0B4E280F4CC2AC,1652.4115028381348,34,3515,0,103.38,2935,14.71
CFD47B8F927BF4B979F0144F69B9A28A05BEBD8C0A72F090265BEFC82646F0F6,70.98106241226196,37,337,0,9.11,337,59.46
D7F698AD5F334AEED6B851A8C023107AF37EE03FFDF9CC7BC5DD58B3AF8877D8,900.352388381958,35,1586,0,45.31,1585,0
D90848F09170CC6AB6ADA4A6E7F56C8A4B54D86134957E9DDC7068948FB05888,8632.020494699478,47,15149,0,322.32,15149,4.26
DB84C0394D11B02298A991D03D30F11D9A2D469CAE6F9EC2C150CE97A2D61CE0,2911.223543405533,34,5674,0,166.88,4655,2.94
DE79CD990B687AAEC012D1B5CEB51B3539CBDE31843733FE1C42E27CF92DCBEE,1376.1468515396118,38,8123,0,213.76,6002,0.00
E5559834F1360F1DE6E1BCF26EDC2CE5F6D8FE2E53189E071CB53423048B5943,6331.801711797714,37,6633,0,179.27,4195,0
E6A772365395C9A9133FB4DA9E43C3FDDAF1367A0E0E43EB9E551EC0908AB74C,12030.491221427917,27,9280,0,343.70,5738,14.81
E8EB864C66CD63CFBF29E1A386394B65B254908EFC00A0332FFFEA3A008B76E0,1245.6925501823425,26,3963,0,152.42,3405,11.54
E9549BB7A18FCF8E39E8613686212BA51D76798BD9AB55497758B4B726726601,3834.065974712372,35,5425,0,155.00,4418,17.14
EC3565B87242878D881FA632C27C666EEF25478DB8F955E92AE817B26219DB02,2275.8800270557404,45,6186,0,137.47,4739,6.67
F13B3188C3BBE4C7965E4F739283769FFE04F8273157BE7D239FB3A9BEB699DB,4945.530228614807,4,449,0,112.25,435,0.00
F15B38AE2533143A35898AD1859AB37590477FF1FF45F10DD0DF540F98E4C5F4,5545.38649725914,44,10939,0,248.61,8630,0
F7B6C29259A6D482E0F153BD26988D4C060329E4920178CCA826FECE3A7F03BA,4256.844274520874,49,4356,0,88.90,3546,0
F82C941BE7AE007F482CB4516BCCC5A5F3AC0152C5C0DB8714E5C0D135A71E38,2075.2137343883514,28,3849,0,137.46,2589,14.29
