time_seconds,time_minutes,output_run1_avg,output_run2_avg,output_run3_avg,final_avg
427,7.116667,9.147680,9.521045,9.420862,9.363196
428,7.133333,9.147680,9.521045,9.420862,9.363196
429,7.150000,9.147680,9.521045,9.420862,9.363196
430,7.166667,9.147680,9.521045,9.420862,9.363196
431,7.183333,9.148904,9.521045,9.420862,9.363603
432,7.200000,9.148904,9.521045,9.420862,9.363603
433,7.216667,9.148904,9.521045,9.420862,9.363603
434,7.233333,9.148904,9.521045,9.420862,9.363603
435,7.250000,9.148904,9.521045,9.420862,9.363603
436,7.266667,9.148904,9.521045,9.431707,9.367218
437,7.283333,9.148904,9.521045,9.431707,9.367218
438,7.300000,9.150131,9.521045,9.431707,9.367627
439,7.316667,9.150131,9.521045,9.431707,9.367627
440,7.333333,9.150131,9.521045,9.431707,9.367627
441,7.350000,9.150131,9.521045,9.431707,9.367627
442,7.366667,9.150131,9.521045,9.432320,9.367832
443,7.383333,9.150131,9.521045,9.432320,9.367832
444,7.400000,9.150131,9.521045,9.432320,9.367832
445,7.416667,9.150131,9.521045,9.432320,9.367832
446,7.433333,9.150131,9.521045,9.432320,9.367832
447,7.450000,9.150131,9.521045,9.432320,9.367832
448,7.466667,9.150131,9.521045,9.432320,9.367832
449,7.483333,9.150131,9.521045,9.432320,9.367832
450,7.500000,9.150131,9.521045,9.432320,9.367832
451,7.516667,9.150131,9.521045,9.432320,9.367832
452,7.533333,9.150131,9.521045,9.435639,9.368938
453,7.550000,9.224961,9.521045,9.455554,9.400520
454,7.566667,9.224961,9.521045,9.465512,9.403839
455,7.583333,9.224961,9.521045,9.465512,9.403839
456,7.600000,9.224961,9.534321,9.472150,9.410477
457,7.616667,9.224961,9.534321,9.475469,9.411584
458,7.633333,9.224961,9.534321,9.475469,9.411584
459,7.650000,9.224961,9.534321,9.475469,9.411584
460,7.666667,9.224961,9.537640,9.475541,9.412714
461,7.683333,9.224961,9.564194,9.475541,9.421565
462,7.700000,9.224961,9.564194,9.475541,9.421565
463,7.716667,9.253532,9.564194,9.475541,9.431089
464,7.733333,9.253532,9.564194,9.475541,9.431089
465,7.750000,9.253532,9.564194,9.475541,9.431089
466,7.766667,9.253532,9.564194,9.475541,9.431089
467,7.783333,9.253532,9.564194,9.475541,9.431089
468,7.800000,9.253532,9.564194,9.475541,9.431089
469,7.816667,9.253532,9.566784,9.475541,9.431952
470,7.833333,9.253532,9.566784,9.475541,9.431952
471,7.850000,9.253532,9.566784,9.475541,9.431952
472,7.866667,9.253532,9.566784,9.478405,9.432907
473,7.883333,9.253532,9.566784,9.478405,9.432907
474,7.900000,9.253532,9.566784,9.478405,9.432907
475,7.916667,9.253532,9.566784,9.478405,9.432907
476,7.933333,9.253532,9.566784,9.478405,9.432907
477,7.950000,9.276426,9.566784,9.478405,9.440538
478,7.966667,9.276426,9.566784,9.478405,9.440538
479,7.983333,9.276426,9.566784,9.480852,9.441354
480,8.000000,9.276426,9.566784,9.480852,9.441354
481,8.016667,9.276426,9.566784,9.480852,9.441354
482,8.033333,9.276426,9.566784,9.482079,9.441763
483,8.050000,9.276426,9.566784,9.482079,9.441763
484,8.066667,9.276426,9.566784,9.482079,9.441763
485,8.083333,9.276426,9.566784,9.482079,9.441763
486,8.100000,9.276426,9.566784,9.482079,9.441763
487,8.116667,9.276426,9.566784,9.482079,9.441763
488,8.133333,9.276426,9.566784,9.490789,9.444666
489,8.150000,9.276426,9.566784,9.490789,9.444666
490,8.166667,9.276426,9.566784,9.490789,9.444666
491,8.183333,9.276426,9.566784,9.490789,9.444666
492,8.200000,9.276426,9.566784,9.490789,9.444666
493,8.216667,9.276426,9.566784,9.490789,9.444666
494,8.233333,9.276426,9.566784,9.490789,9.444666
495,8.250000,9.276426,9.566784,9.490789,9.444666
496,8.266667,9.276426,9.566784,9.490789,9.444666
497,8.283333,9.276426,9.566784,9.490789,9.444666
498,8.300000,9.276426,9.566784,9.490789,9.444666
499,8.316667,9.281005,9.566784,9.490789,9.446193
500,8.333333,9.281005,9.566784,9.490789,9.446193
501,8.350000,9.281005,9.566784,9.490789,9.446193
502,8.366667,9.281005,9.566784,9.490789,9.446193
503,8.383333,9.281005,9.566784,9.490789,9.446193
504,8.400000,9.281005,9.566784,9.528463,9.458750
