time_seconds,time_minutes,output_run1_avg,output_run2_avg,output_run3_avg,final_avg
170,2.833333,5.631067,6.357164,5.171672,5.719968
171,2.850000,5.631067,6.357164,5.171672,5.719968
172,2.866667,5.631067,6.357164,5.171672,5.719968
173,2.883333,5.631067,6.357164,5.171672,5.719968
174,2.900000,5.631067,6.357164,5.171672,5.719968
175,2.916667,5.631067,6.357164,5.171672,5.719968
176,2.933333,5.631067,6.357164,5.171672,5.719968
177,2.950000,5.631067,6.357164,5.171672,5.719968
178,2.966667,5.631067,6.357164,5.171672,5.719968
179,2.983333,5.631067,6.357164,5.171672,5.719968
180,3.000000,5.631067,6.357164,5.171672,5.719968
181,3.016667,5.631067,6.357164,5.171672,5.719968
182,3.033333,5.631067,6.357164,5.171672,5.719968
183,3.050000,5.631067,6.357164,5.171672,5.719968
184,3.066667,5.631067,6.357164,5.171672,5.719968
185,3.083333,5.631067,6.357164,5.171672,5.719968
186,3.100000,5.631067,6.357164,5.171672,5.719968
187,3.116667,5.631067,6.357164,5.171672,5.719968
188,3.133333,5.631067,6.357164,5.171672,5.719968
189,3.150000,5.631067,6.357164,5.171672,5.719968
190,3.166667,5.631067,6.357164,5.171672,5.719968
191,3.183333,5.631067,6.357164,5.171672,5.719968
192,3.200000,5.631067,6.357164,5.171672,5.719968
193,3.216667,5.631067,6.357164,5.171672,5.719968
194,3.233333,5.631067,6.357164,5.171672,5.719968
195,3.250000,5.631067,6.357164,5.171672,5.719968
196,3.266667,5.631067,6.357164,5.171672,5.719968
197,3.283333,5.631067,6.357164,5.171672,5.719968
198,3.300000,5.631067,6.357164,5.171672,5.719968
199,3.316667,5.631067,6.357164,5.171672,5.719968
200,3.333333,5.631067,6.357164,5.171672,5.719968
201,3.350000,5.631067,6.357164,5.171672,5.719968
202,3.366667,5.631067,6.357164,5.171672,5.719968
203,3.383333,5.631067,6.357164,5.171672,5.719968
204,3.400000,5.631067,6.357164,5.171672,5.719968
205,3.416667,5.631067,6.357164,5.171672,5.719968
206,3.433333,5.631067,6.357164,5.171672,5.719968
207,3.450000,5.631067,6.357164,5.171672,5.719968
208,3.466667,5.631067,6.357164,5.171672,5.719968
209,3.483333,5.631067,6.357164,5.171672,5.719968
210,3.500000,5.631067,6.357164,5.171672,5.719968
211,3.516667,5.631067,6.357164,5.171672,5.719968
212,3.533333,5.631067,6.357164,5.171672,5.719968
213,3.550000,5.631067,6.357164,5.171672,5.719968
214,3.566667,5.631067,6.357164,5.171672,5.719968
215,3.583333,5.631067,6.357164,5.171672,5.719968
216,3.600000,5.631067,6.357164,5.171672,5.719968
217,3.616667,5.631067,6.357164,5.171672,5.719968
218,3.633333,5.631067,6.357164,5.171672,5.719968
219,3.650000,5.631067,6.357164,5.171672,5.719968
220,3.666667,5.631067,6.357164,5.171672,5.719968
221,3.683333,5.631067,6.357164,5.171672,5.719968
222,3.700000,5.631067,6.357164,5.171672,5.719968
223,3.716667,5.631067,6.357164,5.171672,5.719968
224,3.733333,5.631067,6.357164,5.171672,5.719968
225,3.750000,5.631067,6.357164,5.171672,5.719968
